,neg,neu,pos,compound,paragraph,label
0,0.0,0.711,0.289,0.6705,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.
",1
1,0.0,0.898,0.102,0.6147,"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters.
",1
2,0.0,0.885,0.115,0.3818,"“My dear Mr. Bennet,” said his lady to him one day, “have you heard that Netherfield Park is let at last?”
",1
3,0.0,1.0,0.0,0.0,"Mr. Bennet replied that he had not.
",0
4,0.0,1.0,0.0,0.0,"“But it is,” returned she; “for Mrs. Long has just been here, and she told me all about it.”
",0
5,0.355,0.645,0.0,-0.296,"Mr. Bennet made no answer.
",-1
6,0.372,0.628,0.0,-0.6728,"“Do not you want to know who has taken it?” cried his wife impatiently.
",-1
7,0.163,0.741,0.096,-0.2263,"“You want to tell me, and I have no objection to hearing it.”
",-1
8,0.0,1.0,0.0,0.0,"This was invitation enough.
",0
9,0.0,0.899,0.101,0.8062,"“Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.”
",1
10,0.0,1.0,0.0,0.0,"“What is his name?”
",0
11,0.0,1.0,0.0,0.0,"“Bingley.”
",0
12,0.0,1.0,0.0,0.0,"“Is he married or single?”
",0
13,0.0,0.725,0.275,0.7633,"“Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!”
",1
14,0.0,1.0,0.0,0.0,"“How so? how can it affect them?”
",0
15,0.0,0.892,0.108,0.4389,"“My dear Mr. Bennet,” replied his wife, “how can you be so tiresome! You must know that I am thinking of his marrying one of them.”
",1
16,0.0,1.0,0.0,0.0,"“Is that his design in settling here?”
",0
17,0.047,0.79,0.163,0.7604,"“Design! nonsense, how can you talk so! But it is very likely that he may fall in love with one of them, and therefore you must visit him as soon as he comes.”
",1
18,0.04,0.727,0.233,0.891,"“I see no occasion for that. You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.”
",1
19,0.0,0.753,0.247,0.7306,"“My dear, you flatter me. I certainly have had my share of beauty, but I do not pretend to be anything extraordinary now. When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.”
",1
20,0.218,0.782,0.0,-0.4717,"“In such cases, a woman has not often much beauty to think of.”
",-1
21,0.0,0.86,0.14,0.3818,"“But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.”
",1
22,0.0,0.542,0.458,0.6222,"“It is more than I engage for, I assure you.”
",1
23,0.038,0.922,0.041,0.0516,"“But consider your daughters. Only think what an establishment it would be for one of them. Sir William and Lady Lucas are determined to go, merely on that account, for in general, you know, they visit no newcomers. Indeed you must go, for it will be impossible for us to visit him, if you do not.”
",0
24,0.0,0.767,0.233,0.908,"“You are over scrupulous, surely. I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever he chooses of the girls; though I must throw in a good word for my little Lizzy.”
",1
25,0.07,0.737,0.193,0.7055,"“I desire you will do no such thing. Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia. But you are always giving her the preference.”
",1
26,0.048,0.81,0.142,0.25,"“They have none of them much to recommend them,” replied he; “they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters.”
",1
27,0.317,0.508,0.175,-0.6808,"“Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion on my poor nerves.”
",-1
28,0.107,0.646,0.247,0.7184,"“You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these twenty years at least.”
",1
29,0.0,1.0,0.0,0.0,"“Ah, you do not know what I suffer.”
",0
30,0.0,0.879,0.121,0.4404,"“But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.”
",1
31,0.115,0.885,0.0,-0.296,"“It will be no use to us, if twenty such should come, since you will not visit them.”
",-1
32,0.0,0.833,0.167,0.3818,"“Depend upon it, my dear, that when there are twenty, I will visit them all.”
",1
33,0.031,0.933,0.036,0.1027,"Mr. Bennet was among the earliest of those who waited on Mr. Bingley. He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid she had no knowledge of it. It was then disclosed in the following manner. Observing his second daughter employed in trimming a hat, he suddenly addressed her with,
",0
34,0.0,0.526,0.474,0.6597,"“I hope Mr. Bingley will like it, Lizzy.”
",1
35,0.107,0.893,0.0,-0.34,"“We are not in a way to know what Mr. Bingley likes,” said her mother resentfully, “since we are not to visit.”
",-1
36,0.075,0.827,0.098,0.1531,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.”
",0
37,0.242,0.758,0.0,-0.8074,"“I do not believe Mrs. Long will do any such thing. She has two nieces of her own. She is a selfish, hypocritical woman, and I have no opinion of her.”
",-1
